base,extra,test,majority,num_classes,majority_all
0.86,0.96,0.95,0.95,2,0.9298542018647143
0.83,0.95,0.95,0.95,2,0.9298542018647143
0.78,0.92,0.92,0.92,2,0.9298542018647143
0.8,0.95,0.95,0.95,2,0.9298542018647143
0.82,0.91,0.91,0.91,2,0.9298542018647143
0.77,0.91,0.89,0.91,2,0.9298542018647143
0.83,0.91,0.91,0.91,2,0.9298542018647143
0.79,0.92,0.92,0.92,2,0.9298542018647143
0.84,0.9,0.9,0.9,2,0.9298542018647143
0.81,0.94,0.94,0.94,2,0.9298542018647143
0.8,0.89,0.89,0.89,2,0.9298542018647143
0.82,0.95,0.95,0.95,2,0.9298542018647143
0.78,0.94,0.94,0.94,2,0.9298542018647143
0.81,0.91,0.91,0.91,2,0.9298542018647143
0.84,0.94,0.95,0.94,2,0.9298542018647143
0.83,0.99,0.99,0.99,2,0.9298542018647143
0.85,0.91,0.92,0.91,2,0.9298542018647143
0.88,0.95,0.95,0.94,2,0.9298542018647143
0.83,0.95,0.95,0.95,2,0.9298542018647143
0.8,0.9,0.9,0.9,2,0.9298542018647143
