base,extra,test,majority,num_classes,majority_all
0.05,0.05,0.05,0.27,9,0.20989559691330004
0.05,0.06,0.05,0.25,9,0.20989559691330004
0.08,0.09,0.08,0.27,9,0.20989559691330004
0.13,0.1,0.13,0.26,9,0.20989559691330004
0.08,0.11,0.08,0.28,9,0.20989559691330004
0.08,0.11,0.09,0.21,9,0.20989559691330004
0.11,0.12,0.11,0.27,9,0.20989559691330004
0.1,0.12,0.11,0.21,9,0.20989559691330004
0.06,0.07,0.07,0.2,9,0.20989559691330004
0.05,0.05,0.04,0.22,9,0.20989559691330004
0.04,0.04,0.04,0.24,9,0.20989559691330004
0.13,0.12,0.11,0.23,9,0.20989559691330004
0.07,0.08,0.1,0.24,9,0.20989559691330004
0.11,0.15,0.08,0.26,9,0.20989559691330004
0.11,0.12,0.13,0.22,9,0.20989559691330004
0.07,0.06,0.06,0.26,9,0.20989559691330004
0.08,0.08,0.08,0.22,9,0.20989559691330004
0.07,0.1,0.07,0.21,9,0.20989559691330004
0.09,0.08,0.08,0.27,9,0.20989559691330004
0.04,0.03,0.02,0.23,9,0.20989559691330004
